"_","Id","GT_ShopCode__c","Name","Address","PostalCode","Address.city","Address.country","Address.geocodeAccuracy","Address.latitude","Address.longitude","Address.postalCode","Address.state","Address.street"
"[ServiceTerritory]","0Hh67000000kFrmCAE","243","QUART DE POBLET-BARRANQUET_OLD","[object Object]","46930","QUART DE POBLET","Spain","Block","39.482942","-0.447428","46930","ES","CL BARRANQUET, 2 - C VALENCIANA"
"[ServiceTerritory]","0Hh67000000kFrrCAE","242","LLIRIA – DUQUE DE LLIRIA 2","[object Object]","46160","LLIRIA","Spain","Address","39.62882","-0.59827","46160","ES","CL DUQUE DE LLIRIA, 68, BAJO - C VALENCIANA"
"[ServiceTerritory]","0Hh67000000LA2cCAG","ST1","GhostShop ES","[object Object]","08005","Barcelona","Spain","Address","41.40124","2.19833","08005","ES","C. Pallars, 200"
"[ServiceTerritory]","0Hh670000004LuvCAE","C24","ALMORADI","[object Object]","03160","ALMORADI","Spain","Address","38.10876","-0.79071","03160","ES","C VIRGEN DEL ROSARIO, 4 - CENTRO OPTICO EMILIO VILLENA - C. VALENCIANA"
"[ServiceTerritory]","0Hh670000004LwhCAE","FCC","ZARAGOZA - JORGE GUILLEN","[object Object]","50018","ZARAGOZA","Spain","Address","41.66847","-0.88549","50018","ES","C JORGE GUILLEN, 17 - OPTICA NOVELLA - ARAGON"
"[ServiceTerritory]","0Hh670000004Lv0CAE","C34","VERIN","[object Object]","32600","VERIN","Spain","Address","41.93939","-7.43874","32600","ES","R LUIS ESPADA, 59 - PARAFARMACIA FARMAROSA - GALICIA"
"[ServiceTerritory]","0Hh670000004LvUCAU","A74","LEBRIJA","[object Object]","41740","LEBRIJA","Spain","Address","36.92256","-6.08028","41740","ES","AVDA ANDALUCIA, 12 bajos - ORTOPEDIA GERARDO LEON - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LwmCAE","B86","VILLACARRILLO","[object Object]","23300","VILLACARRILLO","Spain","Block","38.113164","-3.083519","23300","ES","C SANTA ANGELA DE LA CRUZ, 30 - CENTRO OPTICO GUADALIMAR - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LtdCAE","A47","UBRIQUE","[object Object]","11600","UBRIQUE","Spain","Street","36.660275","-5.454042","11600","ES","C FERNANDO QUIÑONES , 1 BAJOS - CENTRO MEDICO DE UBRIQUE - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LvKCAU","A78","FUENTE ALAMO","[object Object]","30320","FUENTE ALAMO","Spain","Address","37.72332","-1.17753","30320","ES","RDA DE PONIENTE, 11 - CLINICA DENTAL SAN AGUSTIN - MURCIA"
"[ServiceTerritory]","0Hh670000004LxGCAU","C82","VALENCIA - DEL OESTE","[object Object]","46001","VALENCIA","Spain","Street","39.47109","-0.379695","46001","ES","AVDA DEL OESTE , 26 - VALENCIA - DEL OESTE BARON DE CARCER - C. VALENCIANA"
"[ServiceTerritory]","0Hh670000004LuqCAE","051","SAN JOSE DE LA RINCONADA","[object Object]","41300","SAN JOSE DE LA RINCONADA","Spain","Address","37.48775","-5.93578","41300","ES","AVDA PORTUGAL, 27, BAJO - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004Lu2CAE","B4E","ALCAUDETE","[object Object]","23660","ALCAUDETE","Spain","Address","37.58962","-4.08489","23660","ES","C EL CARMEN, 20 * OPTICA - CENTRO OPTICO SERRANO - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LtTCAU","C1D","CARIÑO","[object Object]","15360","CARIÑO","Spain","Block","43.741194","-7.869909","15360","ES","C BALBIS, 7 - OPTICA MAR - GALICIA"
"[ServiceTerritory]","0Hh670000004LuWCAU","B52","HUERCAL-OVERA","[object Object]","04600","HUERCAL-OVERA","Spain","Street","37.402472","-1.940732","04600","ES","C PINOS, SN - ORTOPEDIA TECNICA ALMERIA - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LuXCAU","BC8","DAIMIEL","[object Object]","13250","DAIMIEL","Spain","Address","39.06965","-3.6127","13250","ES","PL ESPAÑA, 28, BAJO IZQ - CASTILLA LA MANCHA"
"[ServiceTerritory]","0Hh670000004LxBCAU","FCF","BERGA","[object Object]","08600","BERGA","Spain","Address","42.09892","1.84501","08600","ES","CTRA. SANT FRUITÓS, 30 - CENTRE OPTIC - CATALUNYA"
"[ServiceTerritory]","0Hh670000004LsuCAE","A88","FRAGA","[object Object]","22520","FRAGA","Spain","Address","41.52207","0.3426","22520","ES","AVDA ARAGON, 3 - OPTICA PRISMA - ARAGON"
"[ServiceTerritory]","0Hh670000004LtxCAE","BF8","HUESCAR","[object Object]","18830","HUESCAR","Spain","Address","37.80835","-2.5405","18830","ES","PJE SAN CRISTOBAL, LOCAL 8 - OPTICA SAN CRISTOBAL - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004Lt9CAE","C31","VIELLA","[object Object]","25530","VIELLA","Spain","Block","42.702698","0.793844","25530","ES","C DETH SENTIN, 2 - FARMACIA PALA - CATALUNYA"
"[ServiceTerritory]","0Hh670000004LveCAE","C25","ASPE","[object Object]","03680","ASPE","Spain","Address","38.34857","-0.76343","03680","ES","AVDA. PADRE ISMAEL, 61 - OCULUS OPTICA - C. VALENCIANA"
"[ServiceTerritory]","0Hh670000004Lt4CAE","C1E","MELIDE","[object Object]","15800","MELIDE","Spain","Address","42.91452","-8.01505","15800","ES","RDA LA CORUÑA, 16 - OPTICA ABAL 2 - GALICIA"
"[ServiceTerritory]","0Hh670000004LvZCAU","C3A","DELTEBRE","[object Object]","43580","DELTEBRE","Spain","Address","40.71941","0.72863","43580","ES","AVDA. ESPORTIVA, 146 - FEDEROPTICS XAVIER GOMEZ - CATALUNYA"
"[ServiceTerritory]","0Hh670000004LvoCAE","116","UTRERA","[object Object]","41710","UTRERA","Spain","Address","37.18426","-5.779","41710","ES","AVDA MARIA AUXILIADORA, 32 - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LtOCAU","C49","HUETOR TAJAR","[object Object]","18360","HUETOR TAJAR","Spain","Address","37.19849","-4.04872","18360","ES","C MALAGA, 8 - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LtiCAE","A97","VERA","[object Object]","04620","VERA","Spain","Address","37.24456","-1.86726","04620","ES","CL DEL MAR, 48, PB - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LvtCAE","FB6","LA SEU D'URGELL","[object Object]","25700","LA SEU D'URGELL","Spain","Address","42.35658","1.45991","25700","ES","C LA SALLE, 52 - FARMACIA MURGIMON - CATALUNYA"
"[ServiceTerritory]","0Hh670000004LubCAE","B4F","BAENA","[object Object]","14850","BAENA","Spain","Address","37.6175","-4.31892","14850","ES","AV PADRE VILLOSLADA, 6 - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LwwCAE","C65","PETRER","[object Object]","03610","PETREL","Spain","Address","38.47904","-0.77214","03610","ES","C DAMASO NAVARRO, 8 - FARMACIA CARLOS MILLA BERNABE - C. VALENCIANA"
"[ServiceTerritory]","0Hh67000000kFzvCAE","C88","MISLATA- GREGORIO GEA 2","[object Object]","46920","MISLATA","Spain","Street","39.475116","-0.421858","46920","ES","AV GREGORIO GEA, 2"
"[ServiceTerritory]","0Hh67000000kG00CAE","C87","VALENCIA-SERRERIA 2","[object Object]","46022","VALENCIA","Spain","Block","39.467347","-0.33527","46022","ES","CL SERRERIA, 67"
"[ServiceTerritory]","0Hh67000000kH6TCAU","A20","SAN SEBASTIAN DE LOS REYES","[object Object]","28700","SAN SEBASTIAN DE LOS REYES","Spain","Address","40.54546","-3.62941","28700","ES","AVDA DE COLMENAR VIEJO, 9 - MADRID"
"[ServiceTerritory]","0Hh67000000kGdWCAU","C85","LLIRIA-DUQUE DE LLIRIA 2","[object Object]","46160","LLIRIA","Spain","Address","39.62882","-0.59827","46160","ES","CL DUQUE DE LLIRIA, 68 BAJO - C VALENCIANA"
"[ServiceTerritory]","0Hh67000000kGdRCAU","C84","VALENCIA-MANUEL CANDELA 2","[object Object]","46021","VALENCIA","Spain","Block","39.47129","-0.348763","46021","ES","CL MANUEL CANDELA, 60 - C VALENCIANA"
"[ServiceTerritory]","0Hh6700000006YZCAY","192","SAN SEBASTIAN DE LOS REYES ATG","[object Object]","28700","SAN SEBASTIAN DE LOS REYES","Spain","Address","40.54546","-3.62941","28700","ES","AVDA DE COLMENAR VIEJO, 9 - MADRID"
"[ServiceTerritory]","0Hh670000004LtnCAE","B4B","LA CAROLINA","[object Object]","23200","LA CAROLINA","Spain","Address","38.27562","-3.61281","23200","ES","C MADRID, 33 - CENTRO OPTICO ALUSTIZA - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LwDCAU","FB3","CALELLA","[object Object]","08370","CALELLA","Spain","Block","41.614258","2.657557","08370","ES","C ROMANI, 65 - ORTOPEDIA COLON - CATALUNYA"
"[ServiceTerritory]","0Hh670000004LuHCAU","FB1","BEASAIN - MAYOR","[object Object]","20200","BEASAIN","Spain","Block","43.046472","-2.19857","20200","ES","C MAYOR, 46 BAJOS - OPTICA IMAZ - PAIS VASCO"
"[ServiceTerritory]","0Hh670000004LugCAE","C37","REDONDELA","[object Object]","36800","REDONDELA","Spain","Address","42.28079","-8.61063","36800","ES","PL DE RIBADAVIA, 2 - OPTICA 3 REDONDELA - GALICIA"
"[ServiceTerritory]","0Hh670000004Lw3CAE","222","ICOD DE LOS VINOS","[object Object]","38430","ICOD DE LOS VINOS","Spain","Block","28.367252","-16.718732","38430","ES","C SAN AGUSTIN, 7 - CANARIAS"
"[ServiceTerritory]","0Hh670000004LulCAE","A77","MAZARRON_OLD","[object Object]","30870","MAZARRON","Spain","Address","37.59762","-1.31265","30870","ES","AVDA CONSTITUCION, 125 - POLICLINICA DKV - MURCIA"
"[ServiceTerritory]","0Hh670000004LwSCAU","FB5","IGUALADA","[object Object]","08700","IGUALADA","Spain","Block","41.587617","1.613455","08700","ES","C MASQUEFA, 11 - OPTICA DURAN - CATALUNYA"
"[ServiceTerritory]","0Hh670000004LuCCAU","B58","PRIEGO DE CORDOBA","[object Object]","14800","PRIEGO DE CORDOBA","Spain","Address","37.43963","-4.20154","14800","ES","C DR BALBINO POVEDANO, 13 * FARMACIA - FARMACIA LCDO. RAFAEL RODRÍGUEZ - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004Lw8CAE","190","LLERENA","[object Object]","06900","LLERENA","Spain","Address","38.24365","-6.01481","06900","ES","C DR. FLEMING, 15 - OPTICALIA CANONICO - EXTREMADURA"
"[ServiceTerritory]","0Hh670000004Lx6CAE","C1F","ARZUA","[object Object]","15810","ARZUA","Spain","Block","42.927205","-8.160573","15810","ES","C LUGO, 28 - OPTICA ABAL - GALICIA"
"[ServiceTerritory]","0Hh670000004LvPCAU","B07","BAILEN","[object Object]","23710","BAILEN","Spain","Address","38.09331","-3.77706","23710","ES","PL DE LAS CIGUEÑAS esq C/ SEVILLA, 1 - FARMACIA LAS CIGÜEÑAS - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LskCAE","152","MAIRENA DEL ALCOR","[object Object]","41510","MAIRENA DEL ALCOR","Spain","Address","37.37156","-5.75732","41510","ES","C CERVANTES, 8 - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LwcCAE","FC4","TARREGA","[object Object]","25300","TARREGA","Spain","Address","41.64903","1.14025","25300","ES","C SANT PELEGRI, 7 - OPTICA SOLA TARREGA - CATALUNYA"
"[ServiceTerritory]","0Hh670000004LvjCAE","FB9","LOS PALACIOS Y VILLAFRANCA","[object Object]","41720","LOS PALACIOS Y VILLAFRANCA","Spain","Address","37.16091","-5.92224","41720","ES","C RAFAEL ALBERTI, 35 - ORTOPEDIA GERARDO LEON - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LtsCAE","AB2","NULES","[object Object]","12520","NULES","Spain","Block","39.852742","-0.157575","12520","ES","C GILABERTO CENTELLES, 47 - C. VALENCIANA"
"[ServiceTerritory]","0Hh670000004LwrCAE","B1A","VELEZ-RUBIO","[object Object]","04820","VELEZ-RUBIO","Spain","Address","37.64672","-2.07466","04820","ES","C Puertas de San Nicolas, 2 - OPTICA SUAREZ - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LvyCAE","C59","PREMIA DE MAR","[object Object]","08330","PREMIA DE MAR","Spain","Block","41.492597","2.356223","08330","ES","C MOSSÈN JACINT VERDAGUER, 51 - CATALUNYA"
"[ServiceTerritory]","0Hh670000004LspCAE","B6E","CUELLAR","[object Object]","40200","CUELLAR","Spain","Address","41.39866","-4.31177","40200","ES","CL DIEGO VELAZQUEZ, 1, BAJO - ESQ CL CHORRETONES, 8 - CASTILLA Y LEON"
"[ServiceTerritory]","0Hh670000004LtJCAU","A5A","OSUNA","[object Object]","41640","OSUNA","Spain","Address","37.23293","-5.0984","41640","ES","CL LECHIN, 10, PLANTA BAJA - ESQ. CL HOJIBLANCA - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LwNCAU","C54","MANCHA REAL","[object Object]","23100","MANCHA REAL","Spain","Address","37.78615","-3.61098","23100","ES","C MAESTRA, 94 - EUROVISION OPTICOS MANCHA REAL - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LwOCAU","AC1","TAFALLA - RECOLETAS","[object Object]","31300","TAFALLA","Spain","Address","42.52618","-1.67539","31300","ES","C RECOLETAS, 1 - NAVARRA"
"[ServiceTerritory]","0Hh670000004LvACAU","A5E","PUENTE GENIL","[object Object]","14500","PUENTE GENIL","Spain","Street","37.392168","-4.769333","14500","ES","C PAREJO Y CAÑERO, S/N - CLÍNICA PAREJO Y CAÑERO - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LszCAE","115","TORREVIEJA - RAMON GALLUD 2","[object Object]","03181","TORREVIEJA","Spain","Address","37.977","-0.6853","03181","ES","C RAMON GALLUD, 9 - C. VALENCIANA"
"[ServiceTerritory]","0Hh670000004LwICAU","B60","CARTAYA","[object Object]","21450","CARTAYA","Spain","Street","37.28773","-7.151065","21450","ES","C LA PLAZA, 8 - OPTICA MORA - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LtYCAU","BFF","SANTISTEBAN DEL PUERTO","[object Object]","23250","SANTISTEBAN DEL PUERTO","Spain","Block","38.250778","-3.204308","23250","ES","AVDA ANDALUCIA, 38 - CENTRO OPTICO GUDALIMAR - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LwXCAU","AB9","PUNTA UMBRIA","[object Object]","21100","PUNTA UMBRIA","Spain","Address","37.17944","-6.96792","21100","ES","AVDA ANDALUCIA, 29 - FARMACIA OPTICA JOSE CARLOS MACIAS - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LuMCAU","158","MOLLERUSSA","[object Object]","25230","MOLLERUSSA","Spain","Address","41.62997","0.89533","25230","ES","C FERRER I BUSQUETS, 80 - Altillo - CATALUNYA"
"[ServiceTerritory]","0Hh670000004LDhCAM","139","BARCELONA - DE FABRA I PUIG","[object Object]","08016","BARCELONA","Spain","Block","41.430347","2.1775","08016","ES","PS DE FABRA I PUIG, 220 - CATALUNYA"
"[ServiceTerritory]","0Hh670000004LMoCAM","109","PORTUGALETE - GREGORIO UZQUIANO","[object Object]","48920","PORTUGALETE","Spain","Address","43.31837","-3.02162","48920","ES","C GREGORIO UZQUIANO, 24 - PAIS VASCO"
"[ServiceTerritory]","0Hh670000004Lc8CAE","8E7","DEUSTO","[object Object]","48014","BILBAO","Spain","Block","43.271822","-2.947295","48014","ES","C LEHENDAKARI AGUIRRE, 19 - PAIS VASCO"
"[ServiceTerritory]","0Hh670000004LcNCAU","8E4","VILLENA","[object Object]","03400","VILLENA","Spain","Address","38.63188","-0.86501","03400","ES","C JOAQUIN MARIA LOPEZ, 18 BAJO - C. VALENCIANA"
"[ServiceTerritory]","0Hh670000004LVvCAM","004","SANTIAGO - REPUBLICA DEL SALVADOR","[object Object]","15702","SANTIAGO DE COMPOSTELA","Spain","Block","42.874634","-8.545305","15702","ES","C REPUBLICA DE EL SALVADOR, 4 - GALICIA"
"[ServiceTerritory]","0Hh670000004L9BCAU","C39","SALOU","[object Object]","43840","SALOU","Spain","Block","41.0762","1.131686","43840","ES","C BARCELONA, 1 - OPTICA PORT SALOU - CATALUNYA"
"[ServiceTerritory]","0Hh670000004LkRCAU","818","MURCIA - LIBERTAD","[object Object]","30009","MURCIA","Spain","Block","37.989808","-1.133389","30009","ES","AV LIBERTAD, 7 - MURCIA"
"[ServiceTerritory]","0Hh670000004L8wCAE","C36","XINZO DE LIMIA","[object Object]","32630","XINZO DE LIMIA","Spain","Block","42.061903","-7.725488","32630","ES","C DOS DE MAYO, 10 - CENTO OPTICO LOSADA - GALICIA"
"[ServiceTerritory]","0Hh670000004L38CAE","FCE","OÑATI","[object Object]","20560","OÑATI","Spain","Block","43.03198","-2.411594","20560","ES","KALE BARRIA, 29 - PLAZAOLA OPTIKA - PAIS VASCO"
"[ServiceTerritory]","0Hh670000004LQlCAM","94E","EL EJIDO","[object Object]","04700","EL EJIDO","Spain","Address","36.76829","-2.80302","04700","ES","C JUAN CARLOS I, 38 LOCAL - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LhrCAE","216","CIUDAD REAL","[object Object]","13001","CIUDAD REAL","Spain","Address","38.98366","-3.92973","13001","ES","C ALARCOS, 6 - CASTILLA LA MANCHA"
"[ServiceTerritory]","0Hh670000004LhsCAE","212","EL VENDRELL","[object Object]","43700","EL VENDRELL","Spain","Address","41.22068","1.53593","43700","ES","C PRAT DE LA RIBA, 7 (ESQ. C L'ORIENT) - CATALUNYA"
"[ServiceTerritory]","0Hh670000004LhtCAE","C47","HARO","[object Object]","26200","HARO","Spain","Address","42.57516","-2.85082","26200","ES","C ITALIA, 6 - LA RIOJA"
"[ServiceTerritory]","0Hh670000004L8rCAE","C3D","MONZON","[object Object]","22400","MONZON","Spain","Address","41.9109","0.19453","22400","ES","C SANTA BARBARA, 40 - OPTICA CAMPO - ARAGON"
"[ServiceTerritory]","0Hh670000004LWeCAM","A28","VILLARROBLEDO","[object Object]","02600","VILLARROBLEDO","Spain","Address","39.26747","-2.60391","02600","ES","C DON PEDRO, 3 - CASTILLA LA MANCHA"
"[ServiceTerritory]","0Hh670000004Lb0CAE","045","GIRONA","[object Object]","17002","GIRONA","Spain","Address","41.97879","2.81943","17002","ES","C BISBE LORENZANA, 38 - CATALUNYA"
"[ServiceTerritory]","0Hh670000004LQgCAM","AE3","SABADELL - RAMBLA","[object Object]","08201","SABADELL","Spain","Block","41.549827","2.09799","08201","ES","C RAMBLA, 38-40 - CATALUNYA"
"[ServiceTerritory]","0Hh670000004LQhCAM","080","VALENCIA - JUSTICIA","[object Object]","46003","VALENCIA","Spain","Address","39.47238","-0.36767","46003","ES","C JUSTICIA, 1 BAJOS - C. VALENCIANA"
"[ServiceTerritory]","0Hh670000004LRfCAM","994","PLASENCIA","[object Object]","10600","PLASENCIA","Spain","Address","40.02942","-6.08981","10600","ES","C TALAVERA, 12 - EXTREMADURA"
"[ServiceTerritory]","0Hh670000004Ln6CAE","83C","ALCAÑIZ","[object Object]","44600","ALCAÑIZ","Spain","Block","41.04617","-0.129256","44600","ES","AV ARAGON, 71 BAJO - ARAGON"
"[ServiceTerritory]","0Hh670000004LGHCA2","143","VELEZ-MALAGA - VIVAR TÉLLEZ","[object Object]","29700","VELEZ-MALAGA","Spain","Address","36.77832","-4.10042","29700","ES","AV VIVAR TÉLLEZ,5 - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004L5sCAE","AD8","ORGIVA","[object Object]","18400","ORGIVA","Spain","Address","36.90064","-3.42509","18400","ES","C ANGEL, 22 ESQUINA AVDA GONZALEZ ROBLES - CLINICA ORGIVA - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LHyCAM","156","GANDIA - GERMANIAS 2","[object Object]","46701","GANDIA","Spain","Address","38.96536","-0.18131","46701","ES","PS GERMANIES, 16 - C. VALENCIANA"
"[ServiceTerritory]","0Hh670000004LHzCAM","107","MADRID - MONFORTE DE LEMOS 1","[object Object]","28029","MADRID","Spain","Address","40.47855","-3.70799","28029","ES","AV MONFORTE DE LEMOS, 113, LOCAL A - MADRID"
"[ServiceTerritory]","0Hh670000004LI0CAM","B35","CABRA","[object Object]","14940","CABRA","Spain","Block","37.473332","-4.441951","14940","ES","C REDONDO MARQUES, 18 - ANDALUCIA"
