_;Order.GT_RegionCode__c;Order;Order.GT_ShopCode__c;Order.OrderNumber;Order.CustomerCode__c;Order.vlocity_cmt__OriginatingChannel__c;Order.OrderRecordTypeName__c;Order.GT_OrderDate__c;Order.GT_SoldDate__c;Order.ActivatedDate;Order.EffectiveDate;Order.GT_ReturnDate__c;Order.Status;Order.Type;Order.CurrencyIsoCode;Order.GT_TotalAmountSale__c;Order.GT_TotalAmountNoVAT__c;vlocity_cmt__InCartQuantityMap__c;Quantity;GT_ProductSKU__c;GT_OneTimePriceNoVAT__c;Order.GT_TotalAmountToBePaid__c;Order.GT_OneTimePriceTotalVAT__c;GT_FinalPrice__c;Order.GT_InvoiceID__c;GT_EarSide__c;Order.GT_SaleFromTrial__c;Order.GT_TrialEndDate__c;Order.GT_TrialStartDate__c;Order.GT_LastOrderAction__c;Order.GT_TrialOrder__r;Order.Account.GT_LastHADate__c;Account;Order.Account.GT_LastTrialDate__c;Order.Account.GT_TrialLast6Months__c;Product2.ProductCode;Product2;Product2.vlocity_cmt__ObjectTypeName__c;Product2.GT_AmplifonClassDesc__c;Order.Account
[OrderItem];Region 1;[Order];82E;09865921;1397453;Call Center;Trial;;;;30/08/2024;;Proposed;Trial;EUR;3900;3545.46;;1;11913829;1772.73;3900;354.54;1950;;R;FALSE;;;;;;;;No;AMP_002_AMPLI-MINI_I_4_8C_10_NWL_SI;[Product2];Hearing Aid Custom;Hearing Aids;[Account]
[OrderItem];Region 1;[Order];82E;09865921;1397453;Call Center;Trial;;;;30/08/2024;;Proposed;Trial;EUR;3900;3545.46;;1;11913829;1772.73;3900;354.54;1950;;L;FALSE;;;;;;;;No;AMP_002_AMPLI-MINI_I_4_8C_10_NWL_SI;[Product2];Hearing Aid Custom;Hearing Aids;[Account]
[OrderItem];Region 1;[Order];069;09301400;06920113;Call Center;Sale;08/07/2024;30/08/2024;2024-08-30T07:17:45.000+0000;08/07/2024;;Sold;Exchange;EUR;2317.5;2106.82;;1;HA108814;2106.82;0;210.68;2317.5;FT2024049903/000003;L;FALSE;;;Payment transaction (Sale and Repair);;30/08/2024;;27/08/2020;No;AMP_002_AMPLI-ENERGY_I_5_OM_R-UP_ITE_WL;[Product2];Hearing Aid Custom;Hearing Aids;[Account]
[OrderItem];Region 4;[Order];118;09830718;11823Y2M;Call Center;Read Only;;30/08/2024;2024-08-30T07:37:22.000+0000;14/08/2024;;Sold;Sale;EUR;4160;3781.82;;1;HA105723;1890.91;4160;378.18;2080;;L;TRUE;30/08/2024;14/08/2024;Payment transaction (Sale and Repair);;30/08/2024;;;No;AMP_002_AMPLI-ENERGY_R_2_AX_R_DKC_SI;[Product2];Hearing Aid Standard;Hearing Aids;[Account]
[OrderItem];Region 4;[Order];118;09830718;11823Y2M;Call Center;Read Only;;30/08/2024;2024-08-30T07:37:22.000+0000;14/08/2024;;Sold;Sale;EUR;4160;3781.82;;1;HA105723;1890.91;4160;378.18;2080;;R;TRUE;30/08/2024;14/08/2024;Payment transaction (Sale and Repair);;30/08/2024;;;No;AMP_002_AMPLI-ENERGY_R_2_AX_R_DKC_SI;[Product2];Hearing Aid Standard;Hearing Aids;[Account]
[OrderItem];Region 2;[Order];8E0;09379259;4364014;Call Center;Sale from Trial;;30/08/2024;2024-08-30T09:12:14.000+0000;29/07/2024;;Sold;Sale;EUR;3840;3490.9;;1;HA105723;1745.45;3840;349.1;1920;FT2024039703/000022;L;TRUE;30/08/2024;29/07/2024;Payment transaction (Sale and Repair);;30/08/2024;;;No;AMP_002_AMPLI-ENERGY_R_2_AX_R_DKC_SI;[Product2];Hearing Aid Standard;Hearing Aids;[Account]
[OrderItem];Region 2;[Order];8E0;09379259;4364014;Call Center;Sale from Trial;;30/08/2024;2024-08-30T09:12:14.000+0000;29/07/2024;;Sold;Sale;EUR;3840;3490.9;;1;HA105723;1745.45;3840;349.1;1920;FT2024039703/000022;R;TRUE;30/08/2024;29/07/2024;Payment transaction (Sale and Repair);;30/08/2024;;;No;AMP_002_AMPLI-ENERGY_R_2_AX_R_DKC_SI;[Product2];Hearing Aid Standard;Hearing Aids;[Account]
[OrderItem];Region 1;[Order];206;09867897;20622L3B;Call Center;Trial;;;;30/08/2024;;Draft;Trial;EUR;1980;1800;;1;HA105723;900;1980;180;990;;L;FALSE;;;;;24/05/2024;;24/05/2024;No;AMP_002_AMPLI-ENERGY_R_2_AX_R_DKC_SI;[Product2];Hearing Aid Standard;Hearing Aids;[Account]
[OrderItem];Region 4;[Order];B66;09867825;01223985;Call Center;Trial;;;;30/08/2024;;Proposed;Trial;EUR;2269.09;2269.09;;1;HA105723;2269.09;2269.09;0;2269.09;;R;FALSE;;;;;;;;;AMP_002_AMPLI-ENERGY_R_2_AX_R_DKC_SI;[Product2];Hearing Aid Standard;Hearing Aids;[Account]
[OrderItem];Region 1;[Order];206;09867927;20622L3B;Call Center;Trial;;;;30/08/2024;;Draft;Trial;EUR;6400;5818.18;;1;HA105723;2909.09;6400;581.82;3200;;L;FALSE;;;;;24/05/2024;;24/05/2024;No;AMP_002_AMPLI-ENERGY_R_2_AX_R_DKC_SI;[Product2];Hearing Aid Standard;Hearing Aids;[Account]
[OrderItem];Region 3;[Order];845;09867746;5368577;Call Center;Sale;;;;30/08/2024;;Order Accepted;Sale;EUR;4979;4511.56;;1;HA105723;2909.09;4979;467.44;3200;;R;FALSE;;;;;;;;No;AMP_002_AMPLI-ENERGY_R_2_AX_R_DKC_SI;[Product2];Hearing Aid Standard;Hearing Aids;[Account]
[OrderItem];Region 4;[Order];9AA;09867648;4096282;Call Center;Sale;;;;30/08/2024;;Order Accepted;Sale;EUR;3490.9;3490.9;;1;HA105723;1745.45;3490.9;0;1745.45;;L;FALSE;;;;;;;03/08/2021;No;AMP_002_AMPLI-ENERGY_R_2_AX_R_DKC_SI;[Product2];Hearing Aid Standard;Hearing Aids;[Account]
[OrderItem];Region 3;[Order];8BE;09866190;5319607;Call Center;Sale;;;;30/08/2024;;Order Accepted;Sale;EUR;3200;2909.08;;1;HA105723;1454.54;3200;290.92;1600;;R;FALSE;;;;;;;;;AMP_002_AMPLI-ENERGY_R_2_AX_R_DKC_SI;[Product2];Hearing Aid Standard;Hearing Aids;[Account]
[OrderItem];Region 3;[Order];114;09866409;00902503;Call Center;Trial;;;;30/08/2024;;Draft;Trial;EUR;6400;5818.18;;1;HA105723;2909.09;6400;581.82;3200;;L;FALSE;;;;;;;;;AMP_002_AMPLI-ENERGY_R_2_AX_R_DKC_SI;[Product2];Hearing Aid Standard;Hearing Aids;[Account]
